PdfFileName,OpenFileTS, StartCheckTS, EndCheckTS, CheckTime(ms), TotalTime(ms), 
(Short Paper) Developing a Smart Storage Container for a Blockchain-Based Supply Chain Application.pdf,1594455659749.0186,1594455659847.906,1594455660029.874,181.96797370910645,280.8554172515869
A blockchain framework for smart mobility.pdf,1594455662630.8572,1594455662694.7693,1594455662801.7832,107.01394081115723,170.92609405517578
A Blockchain Model for Word-Learning Systems.pdf,1594455664999.3418,1594455665076.9045,1594455665209.881,132.97653198242188,210.5393409729004
A Blockchain Proxy for Lightweight IoT Devices.pdf,1594455667353.9414,1594455667469.6716,1594455667609.6565,139.9848461151123,255.71513175964355
A Blockchain-Based Approach for the Creation of Digital Twins.pdf,1594455669791.8213,1594455670199.3262,1594455670457.3533,258.0270767211914,665.532112121582
A Blockchain-based Framework for Detecting Malicious Mobile Applications in App Stores.pdf,1594455672698.0476,1594455672741.547,1594455672896.5508,155.00378608703613,198.5032558441162
A Blockchain-based key Management Scheme for Named Data Networking.pdf,1594455675108.4836,1594455675289.4395,1594455675438.4736,149.0342617034912,329.9901485443115
A Blockchain-Based Trusted Data Management Scheme in Edge Computing.pdf,1594455677617.1948,1594455678030.395,1594455681965.5938,3935.1987838745117,4348.398923873901
A consortium blockchain paradigm on hyperledger-based peer-to-peer lending system.pdf,1594455684156.5122,1594455684338.987,1594455684585.9521,246.9649314880371,429.4397830963135
A Cooperative Architecture for Blockchain Federated Mediators from Industry Perspective.pdf,1594455686747.6199,1594455686807.1199,1594455686981.1208,174.00097846984863,233.50095748901367
A Correctable Public Blockchain.pdf,1594455689216.232,1594455689247.8435,1594455689576.8408,328.9973735809326,360.6090545654297
A Decentralized Service-Platform Towards Cross-Domain Entitlement Handling.pdf,1594455691730.9578,1594455691812.5244,1594455691937.4963,124.97210502624512,206.53867721557617
A Financial Evaluation Framework for Blockchain Implementations.pdf,1594455694076.394,1594455694127.165,1594455694505.1953,378.03030014038086,428.8012981414795
A Full-Spectrum Blockchain-as-a-Service for Business Collaboration.pdf,1594455696720.422,1594455696800.4846,1594455697028.4863,228.00159454345703,308.06422233581543
A Fully Decentralized Time-Lock Encryption System on Blockchain.pdf,1594455699204.2554,1594455699295.1328,1594455699408.1328,112.99991607666016,203.87744903564453
A Heuristic-Based Private Bitcoin Payment Network Formation Using Off-Chain Links.pdf,1594455701553.5913,1594455703321.8066,1594455704123.7786,801.9719123840332,2570.1873302459717
A High Performance Blockchain Platform for Intelligent Devices.pdf,1594455706276.8777,1594455706576.729,1594455706769.7158,192.98672676086426,492.83814430236816
A Hybrid Blockchain Architecture for Privacy-Enabled and Accountable Auctions.pdf,1594455708871.8853,1594455708968.7532,1594455709168.7239,199.97072219848633,296.83852195739746
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge.pdf,1594455711283.0364,1594455711305.9434,1594455711386.947,81.00366592407227,103.91044616699219
A Lightweight Payment Verification Protocol for Blockchain Transactions on IoT Devices.pdf,1594455713586.5835,1594455713628.0894,1594455713767.09,139.00065422058105,180.50646781921387
A master-slave blockchain paradigm and application in digital rights management.pdf,1594455715856.9019,1594455716033.559,1594455716804.5337,770.9746360778809,947.6318359375
A Measurement Study of Bitcoin Lightning Network.pdf,1594455718911.4373,1594455719035.7412,1594455719258.7424,223.00124168395996,347.3050594329834
A method of image privacy protection based on blockchain technology.pdf,1594455721416.8655,1594455721428.718,1594455721509.6895,80.97147941589355,92.82398223876953
A Multiple Blockchains Architecture on Inter-Blockchain Communication.pdf,1594455723667.554,1594455723718.8145,1594455723959.815,241.00065231323242,292.26112365722656
A Novel Blockchain Oracle Implementation Scheme Based on Application Specific Knowledge Engines.pdf,1594455726174.4053,1594455726236.799,1594455726361.7664,124.96733665466309,187.3610019683838
