PdfFileName,OpenFileTS, StartCheckTS, EndCheckTS, CheckTime(ms), TotalTime(ms), 
(Short Paper) Developing a Smart Storage Container for a Blockchain-Based Supply Chain Application.pdf,1594388477718.198,1594388478104.4656,1594388478305.9268,201.4613151550293,587.72873878479
A blockchain framework for smart mobility.pdf,1594388481045.2317,1594388481278.2097,1594388481393.1946,114.98498916625977,347.9630947113037
A Blockchain Model for Word-Learning Systems.pdf,1594388483635.6785,1594388483907.6526,1594388484018.6553,111.00268363952637,382.976770401001
A Blockchain Proxy for Lightweight IoT Devices.pdf,1594388486151.3284,1594388486541.2722,1594388486666.2883,125.0162124633789,514.9600505828857
A Blockchain-Based Approach for the Creation of Digital Twins.pdf,1594388488815.5786,1594388490788.592,1594388491020.594,232.00178146362305,2205.015182495117
A Blockchain-based Framework for Detecting Malicious Mobile Applications in App Stores.pdf,1594388501038.26,1594388501326.7131,1594388501503.7153,177.0021915435791,465.4552936553955
A Blockchain-based key Management Scheme for Named Data Networking.pdf,1594388503670.603,1594388504847.4993,1594388505010.497,162.99772262573242,1339.8940563201904
A Blockchain-Based Trusted Data Management Scheme in Edge Computing.pdf,1594388507189.0518,1594388509055.083,1594388512935.2417,3880.1586627960205,5746.189832687378
A consortium blockchain paradigm on hyperledger-based peer-to-peer lending system.pdf,1594388515170.4849,1594388515907.126,1594388516159.1296,252.00366973876953,988.6448383331299
A Cooperative Architecture for Blockchain Federated Mediators from Industry Perspective.pdf,1594388518268.8037,1594388518520.1116,1594388518691.1113,170.99976539611816,422.30772972106934
A Correctable Public Blockchain.pdf,1594388520813.8914,1594388520933.5063,1594388521265.5095,332.0033550262451,451.6181945800781
A Decentralized Service-Platform Towards Cross-Domain Entitlement Handling.pdf,1594388547352.8682,1594388547713.272,1594388547840.2756,127.00343132019043,487.4074459075928
A Financial Evaluation Framework for Blockchain Implementations.pdf,1594388550067.5364,1594388550284.1843,1594388550668.1616,383.97741317749023,600.6252765655518
A Full-Spectrum Blockchain-as-a-Service for Business Collaboration.pdf,1594388552881.0425,1594388553224.1545,1594388553462.1572,238.00277709960938,581.1147689819336
A Fully Decentralized Time-Lock Encryption System on Blockchain.pdf,1594388555699.276,1594388556103.2249,1594388556220.2266,117.00177192687988,520.9505558013916
A Heuristic-Based Private Bitcoin Payment Network Formation Using Off-Chain Links.pdf,1594388558395.1287,1594388566397.625,1594388567152.627,755.0020217895508,8757.498264312744
A High Performance Blockchain Platform for Intelligent Devices.pdf,1594388569281.0574,1594388570502.4507,1594388570688.4482,185.99748611450195,1407.390832901001
A Hybrid Blockchain Architecture for Privacy-Enabled and Accountable Auctions.pdf,1594388572839.6758,1594388573273.6008,1594388573483.6047,210.00385284423828,643.9290046691895
A Lightweight Blockchain-Based Privacy Protection for Smart Surveillance at the Edge.pdf,1594388601660.7415,1594388601752.9126,1594388601838.9158,86.00330352783203,178.17425727844238
A Lightweight Payment Verification Protocol for Blockchain Transactions on IoT Devices.pdf,1594388604027.8977,1594388604211.9937,1594388604356.9634,144.96970176696777,329.06579971313477
A master-slave blockchain paradigm and application in digital rights management.pdf,1594388606498.8254,1594388607266.4895,1594388608030.4897,764.0001773834229,1531.6641330718994
A Measurement Study of Bitcoin Lightning Network.pdf,1594388610258.5232,1594388610835.2307,1594388611060.2324,225.00157356262207,801.7091751098633
A method of image privacy protection based on blockchain technology.pdf,1594388613194.7163,1594388613239.5054,1594388613321.5068,82.0014476776123,126.79052352905273
A Multiple Blockchains Architecture on Inter-Blockchain Communication.pdf,1594388615489.6396,1594388615717.8013,1594388615958.8008,240.9994602203369,469.1610336303711
A Novel Blockchain Oracle Implementation Scheme Based on Application Specific Knowledge Engines.pdf,1594388618165.823,1594388618435.181,1594388618560.1821,125.00119209289551,394.3591117858887
A Permissioned Blockchain based Access Control System for IOT.pdf,1594388620698.2544,1594388621291.1565,1594388621533.1248,241.96815490722656,834.8703384399414
